 Year,Month,Rainfall,Temperature
1936,6,27.5148,16.6459
1936,7,10.555,20.1053
1936,8,2.28442,22.6267
1936,9,30.4383,19.7456
1936,10,47.9211,14.1965
1936,11,59.3746,10.0638
1936,12,45.7706,7.11911
1937,1,209.828,8.10947
1937,2,72.1679,10.039
1937,3,198.265,9.61994
1937,4,67.1824,13.5864
1937,5,37.3378,15.5521
1937,6,25.9054,18.3091
1937,7,2.60967,22.0898
1937,8,0.2546,21.9789
1937,9,22.3426,19.0619
1937,10,163.86,15.6287
1937,11,191.269,12.7789
1937,12,136.632,7.79951
1938,1,49.9344,7.53465
1938,2,31.3368,8.18885
1938,3,34.7539,12.2662
1938,4,47.3444,13.813
1938,5,74.1532,14.767
1938,6,8.22803,20.1407
1938,7,3.41718,20.7721
1938,8,3.01178,20.8906
1938,9,71.8794,17.5386
1938,10,38.9389,15.8583
1938,11,51.4713,12.8154
1938,12,153.675,8.12016
1939,1,180.391,9.53241
1939,2,53.1068,9.06791
1939,3,29.8848,10.1788
1939,4,80.7455,12.0202
1939,5,24.4708,15.1197
1939,6,77.5175,17.7149
1939,7,10.1276,20.8068
1939,8,9.60944,20.6894
1939,9,78.5885,19.695
1939,10,164.838,14.3516
1939,11,75.0312,11.02
1939,12,120.178,8.62876
1940,1,190.777,8.0364
1940,2,157.028,10.3527
1940,3,105.603,12.7382
1940,4,56.45,13.5164
1940,5,66.154,15.1536
1940,6,38.3984,18.6668
1940,7,4.23518,20.5602
1940,8,6.7753,23.0541
1940,9,21.1836,19.3991
1940,10,141.441,14.0834
1940,11,100.094,10.7294
1940,12,32.5977,6.84783
1941,1,267.39,7.10891
1941,2,152.306,9.31587
1941,3,113.769,10.8469
1941,4,123.021,12.0724
1941,5,82.0286,13.4679
1941,6,28.0349,19.2339
1941,7,36.3228,21.62
1941,8,8.31044,21.7234
1941,9,24.3605,20.4092
1941,10,7.72908,16.6689
1941,11,150.787,10.6143
1941,12,15.639,7.11879
1942,1,87.8487,7.68484
1942,2,49.6964,6.96595
1942,3,186.154,11.6413
1942,4,114.695,12.9429
1942,5,41.2508,15.9454
1942,6,34.8535,19.5841
1942,7,1.70264,21.6459
1942,8,21.8571,21.3655
1942,9,65.578,19.5594
1942,10,110.71,16.8783
1942,11,62.5935,11.2402
1942,12,140.258,8.98551
